2021-12-02 19:23: Experiment log path in: G:\研究方向论文\读\已读\AGCRN\AGCRN-master\traffic_predict\AGCRN-master\model\experiments\PEMSD8\20211202192307
2021-12-02 19:23: Train Epoch 1: 0/668 Loss: 233.978836
2021-12-02 19:25: Train Epoch 1: 20/668 Loss: 235.533417
2021-12-02 19:26: Train Epoch 1: 40/668 Loss: 220.729172
2021-12-02 19:28: Train Epoch 1: 60/668 Loss: 242.244598
2021-12-02 19:30: Train Epoch 1: 80/668 Loss: 230.851440
2021-12-02 19:33: Train Epoch 1: 100/668 Loss: 227.894043
2021-12-02 19:37: Train Epoch 1: 120/668 Loss: 214.921112
2021-12-02 19:40: Train Epoch 1: 140/668 Loss: 176.416748
2021-12-02 19:44: Train Epoch 1: 160/668 Loss: 229.355438
2021-12-02 19:47: Train Epoch 1: 180/668 Loss: 190.263321
2021-12-02 19:51: Train Epoch 1: 200/668 Loss: 202.681900
2021-12-02 19:54: Train Epoch 1: 220/668 Loss: 226.740082
2021-12-02 19:58: Train Epoch 1: 240/668 Loss: 180.591812
2021-12-02 20:01: Train Epoch 1: 260/668 Loss: 165.134460
2021-12-02 20:05: Train Epoch 1: 280/668 Loss: 210.930344
2021-12-02 20:08: Train Epoch 1: 300/668 Loss: 202.663193
2021-12-02 20:11: Train Epoch 1: 320/668 Loss: 203.295563
